# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp10_032q48w9fgkcz255qabp553 jslife-20121230, o0010.lif, row 5, object 9
xp10_wok4m9akggoz8ka222dhkiczw11d552 jslife-20121230, o0010.lif, row 6, object 3
xp10_x31u0e92sgz32qb8nkrkd221zx1226 jslife-20121230, o0010.lif, row 1, object 9
xp10_xg88bbgz32q5hp1lgn84czx12452 jslife-20121230, x-djb-oscillators.lif, group 7, object 7
xp10_xg8kiheg8k8gzcicj8go2o7kcifge2zw23c48f02543 jslife-20121230, o0010.lif, row 6, object 5
xp10_xgbb88gz32q5hp1lgn84czx12452 jslife-20121230, o0010.lif, row 1, object 6
xp10_xggc9bqiczcit2obx8c0c88gzy032x178711 jslife-20121230, o0010.lif, row 6, object 2
xp10_xggw8u1mkk8z255lkqr0h81zw32 jslife-20121230, o0010.lif, row 5, object 10
xp10_xok4riabkk8z651ui1w5b8oz330346 jslife-20121230, o0010.lif, row 7, object 7
xp10_y12c34z45a208ka52066zy266w653w2c34zy645a2 jslife-20121230, o0010.lif, row 1, object 2
xp10_y12c34z45a208ka52066zy266w653w2c34zy645a2 jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 6
xp10_y133x33z33w595x595w33zoowkikxkikwoozy1ooxoo jslife-20121230, o0010.lif, row 2, object 1
xp10_y133x33z33w595x595w33zoowkikxkikwoozy1ooxoo jslife-20121230, x-djb-oscillators.lif, group 20, object 2
xp10_y232acy5ca23z2egoy24uaxau4y2oge2zy26362cc33033cc2636zwggw6c643jcc0ccj346c6wggz4701y2275x572y21074zy2c453y5354c jslife-20121230, o0010.lif, row 1, object 3
xp10_y2ggm9b88gzg88geh4m0v0qklq23z11078fg8iu146zy123 jslife-20121230, o0010.lif, row 2, object 9
xp10_y2ggm9b88gzg88geh4m0v0rklq23z11078fg8iu146zy123 jslife-20121230, o0010.lif, row 2, object 6
xp10_y2ggm9b88gzg88geh4m0v0uklq23z11078fg8iu146zy123 jslife-20121230, o0010.lif, row 2, object 7
xp10_y2ggm9b88gzg88gehkegv0qklq23z11078fi8iu146zy123 jslife-20121230, o0010.lif, row 2, object 8
xp10_y44a5pajkkjap5a4zy5gba8dwd8abgzdb88c2s0fo1132112311of0s2c88bdz069ll7q0lqx6ee6xql0q7ll96zy0347078kkmi44imkk870743zy5g6qgd88dgq6gzy412542611624521 jslife-20121230, o0010.lif, row 7, object 2
xp10_y44a5pajkkjap5a4zy5gba8dwd8abgzdb88c2s0fo1132112311of0s2c88bdz069ll7q0lqx6ee6xql0q7ll96zy0347078kkmi44imkk870743zy5g6qgd88dgq6gzy412542611624521 jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 1
xp10_y931y113yg31y113zy9etie0eiteygetie0eitezo8xg8oogwccy3ccwgoo8gy0g8oogwccy3ccwgoo8gx8ozy2raahybhaahy2haahybhaarz32x12331w66y366w13321y012331w66y366w13321x23zy9en9e0e9neygen9e0e9nezy9ogy1goygogy1go jslife-20121230, o0010.lif, row 2, object 4
xp10_y931y113zy9etie0eitezo8xg8oogwccy3ccwgoo8gx8ozy2raahybhaarz32x12331w66y366w13321x23zy9en9e0e9nezy9ogy1go jslife-20121230, o0010.lif, row 1, object 4
xp10_yko8go4q2s0v9zyag0gs2c88g04aaqi9j9iqa960u2gg0s48gxo8g0g8ozxokk69jwok45l4a21f83asy1gy1ul1k70v01howosi38bi0v90gz314v0jk4gif7w7210u0ob0bvy13y1flg5s0gk9a98a710i4oba7011zw116430346x259e123gv1o4kmi4i4imkk80345dge213y111zyl14u0fhn86246zym11 jslife-20121230, o0010.lif, row 7, object 3
xp10_yvggo4qabobaq4oggzyu122eg8axa8ge221zyu699f0u32223u0f996zywmllcb3g3bcllmzyuc45kaa97779aak54czyx123maiam321zy1gy1ggy5ggyb1ho1oh1ybggy5ggy1gz0g8kn074k87kkngc2uge2o7o4koxgy2ggcb989bcggy2gxok4o7o2egu2cgnkk78k470nk8gzar0v40h0h0hvxrr0h4veehwvhallwarrh0v0ehrhe0v0hrrawllahvwheev4h0rrxvh0h0h04v0raz0125t0s452s55t168f1e83s3453x1y2116qi2iq611y21x3543s38e1f861t55s254s0t521zy11y111y511ybgh3g3hgyb11y511y11zyxg8oda9ado8gzyu64k5aaisssiaa5k46zywdll6qo1oq6lldzyuciiu0fo888of0uiiczyug88e12axa21e88gzyv1134baq3qab4311 jslife-20121230, o0010.lif, row 2, object 2
xp10_yvggo4qabobaq4oggzyu122eg8axa8ge221zyu699f0u32223u0f996zywmllcb3g3bcllmzyuc45kaa97779aak54czyx123maiam321zy1gy1ggy5ggyb1ho1oh1ybggy5ggy1gz0g8kn074k87kkngc2uge2o7o4koxgy2ggcb989bcggy2gxok4o7o2egu2cgnkk78k470nk8gzar0v40h0h0hvxrr0h4veehwvhallwarrh0v0ehrhe0v0hrrawllahvwheev4h0rrxvh0h0h04v0raz0125t0s452s55t168f1e83s3453x1y2116qi2iq611y21x3543s38e1f861t55s254s0t521zy11y111y511ybgh3g3hgyb11y511y11zyxg8oda9ado8gzyu64k5aaisssiaa5k46zywdll6qo1oq6lldzyuciiu0fo888of0uiiczyug88e12axa21e88gzyv1134baq3qab4311 jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 5
